Season,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
2022-2023,Brentford,25,38.0,56,400,147,36.8,10.53,3.87,0.12,0.33,15.7,14,7,8,56.3,50.1,0.13,-0.3,-1.1
2022-2023,Brighton,29,38.0,68,607,219,36.1,15.97,5.76,0.1,0.28,16.8,12,6,6,73.3,68.9,0.12,-5.3,-6.9
2022-2023,Chelsea,32,38.0,37,481,151,31.4,12.66,3.97,0.07,0.23,16.8,10,3,3,49.5,47.2,0.1,-12.5,-13.2
2022-2023,Crystal Palace,26,38.0,38,423,133,31.4,11.13,3.5,0.09,0.28,17.6,23,1,3,39.3,36.8,0.09,-1.3,0.2
2022-2023,Everton,28,38.0,32,426,143,33.6,11.21,3.76,0.07,0.2,16.8,12,3,3,45.2,42.8,0.1,-13.2,-13.8
2022-2023,Fulham,29,38.0,52,420,137,32.6,11.05,3.61,0.11,0.34,17.3,17,5,9,46.2,39.1,0.1,5.8,7.9
2022-2023,Leeds United,29,38.0,45,459,141,30.7,12.08,3.71,0.1,0.31,16.6,19,1,3,47.3,44.9,0.1,-2.3,-0.9
2022-2023,Leicester City,28,38.0,49,412,142,34.5,10.84,3.74,0.11,0.32,17.7,14,3,6,50.5,45.7,0.11,-1.5,0.3
2022-2023,Liverpool,28,38.0,71,601,203,33.8,15.82,5.34,0.11,0.34,16.2,7,2,4,71.5,68.4,0.12,-0.5,0.6
2022-2023,Manchester City,24,38.0,92,590,205,34.7,15.53,5.39,0.14,0.4,16.6,20,9,10,78.6,71.1,0.12,13.4,11.9
2022-2023,Manchester Utd,26,38.0,56,590,206,34.9,15.53,5.42,0.09,0.26,17.8,20,3,3,67.7,65.3,0.11,-11.7,-12.3
2022-2023,Newcastle Utd,27,38.0,64,565,184,32.6,14.87,4.84,0.1,0.32,15.6,15,6,6,71.9,67.3,0.12,-7.9,-9.3
2022-2023,Nott'ham Forest,33,38.0,36,362,111,30.7,9.53,2.92,0.09,0.3,17.2,9,3,6,39.3,34.6,0.1,-3.3,-1.6
2022-2023,Southampton,36,38.0,36,413,132,32.0,10.87,3.47,0.08,0.26,18.1,17,2,4,37.8,34.6,0.09,-1.8,-0.6
2022-2023,Tottenham,29,38.0,68,512,186,36.3,13.47,4.89,0.12,0.34,16.7,14,5,6,57.0,52.3,0.1,11.0,10.7
2022-2023,West Ham,25,38.0,41,466,133,28.5,12.26,3.5,0.08,0.26,17.3,13,6,8,49.2,43.7,0.1,-8.2,-8.7
2022-2023,Wolves,32,38.0,28,409,119,29.1,10.76,3.13,0.06,0.21,18.0,18,3,3,36.8,34.5,0.09,-8.8,-9.5
2023-2024,Arsenal,25,38.0,86,647,209,32.3,17.03,5.5,0.12,0.36,15.8,6,10,10,76.1,68.5,0.11,9.9,7.5
